word,shows,show_count
bone,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
book,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
boom,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
boot,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bore,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
boring,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
borrow,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bother,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bottle,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bottom,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bounce,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bowl,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
box,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
boy,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
boys,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brain,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brand,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brave,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bread,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
break,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
breakfast,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
breaking,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
breast,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
breath,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
breathe,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
breathing,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bridge,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brief,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bright,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bring,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
broke,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
broken,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brother,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brown,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
brush,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bucket,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bug,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
build,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
building,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bum,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bump,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bunch,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
burn,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
bury,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
business,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
busy,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
butter,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
buy,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
buying,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cage,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cake,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
call,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
calm,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
camera,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
camp,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
candle,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
candy,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
capable,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
captain,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
care,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
career,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
careful,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
carefully,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
carry,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
