word,datasets,dataset_count
arcade,books|lyrics|tv_shows,3
arch,books|lyrics|tv_shows,3
archaic,books|lyrics|tv_shows,3
archer,books|lyrics|tv_shows,3
architectural,books|lyrics|tv_shows,3
architecture,books|lyrics|tv_shows,3
arctic,books|lyrics|tv_shows,3
area,books|lyrics|tv_shows,3
arena,books|lyrics|tv_shows,3
arguably,books|lyrics|tv_shows,3
argue,books|lyrics|tv_shows,3
argument,books|lyrics|tv_shows,3
argumentative,books|lyrics|tv_shows,3
aria,books|lyrics|tv_shows,3
arid,books|lyrics|tv_shows,3
arise,books|lyrics|tv_shows,3
aristocrat,books|lyrics|tv_shows,3
ark,books|lyrics|tv_shows,3
arm,books|lyrics|tv_shows,3
armadillo,books|lyrics|tv_shows,3
armed,books|lyrics|tv_shows,3
armor,books|lyrics|tv_shows,3
armour,books|lyrics|tv_shows,3
armpit,books|lyrics|tv_shows,3
armrest,books|lyrics|tv_shows,3
army,books|lyrics|tv_shows,3
arraign,books|lyrics|tv_shows,3
arraignment,books|lyrics|tv_shows,3
arrange,books|lyrics|tv_shows,3
arrangement,books|lyrics|tv_shows,3
array,books|lyrics|tv_shows,3
arrest,books|lyrics|tv_shows,3
arrival,books|lyrics|tv_shows,3
arrive,books|lyrics|tv_shows,3
arrogance,books|lyrics|tv_shows,3
arrogant,books|lyrics|tv_shows,3
arrow,books|lyrics|tv_shows,3
arse,books|lyrics|tv_shows,3
arsenal,books|lyrics|tv_shows,3
arson,books|lyrics|tv_shows,3
arsonist,books|lyrics|tv_shows,3
art,books|lyrics|tv_shows,3
artery,books|lyrics|tv_shows,3
artful,books|lyrics|tv_shows,3
article,books|lyrics|tv_shows,3
articulate,books|lyrics|tv_shows,3
artifact,books|lyrics|tv_shows,3
artillery,books|lyrics|tv_shows,3
artist,books|lyrics|tv_shows,3
artistic,books|lyrics|tv_shows,3
ascend,books|lyrics|tv_shows,3
ash,books|lyrics|tv_shows,3
ashamed,books|lyrics|tv_shows,3
ashen,books|lyrics|tv_shows,3
ashore,books|lyrics|tv_shows,3
ashtray,books|lyrics|tv_shows,3
asian,books|lyrics|tv_shows,3
aside,books|lyrics|tv_shows,3
asinine,books|lyrics|tv_shows,3
ask,books|lyrics|tv_shows,3
askin,books|lyrics|tv_shows,3
asking,books|lyrics|tv_shows,3
asleep,books|lyrics|tv_shows,3
asphalt,books|lyrics|tv_shows,3
asphyxiate,books|lyrics|tv_shows,3
aspiration,books|lyrics|tv_shows,3
aspire,books|lyrics|tv_shows,3
aspirin,books|lyrics|tv_shows,3
ass,books|lyrics|tv_shows,3
assassin,books|lyrics|tv_shows,3
assault,books|lyrics|tv_shows,3
assemble,books|lyrics|tv_shows,3
assembly,books|lyrics|tv_shows,3
assertive,books|lyrics|tv_shows,3
asset,books|lyrics|tv_shows,3
asshole,books|lyrics|tv_shows,3
assist,books|lyrics|tv_shows,3
assistance,books|lyrics|tv_shows,3
assistant,books|lyrics|tv_shows,3
associate,books|lyrics|tv_shows,3
association,books|lyrics|tv_shows,3
assorted,books|lyrics|tv_shows,3
assume,books|lyrics|tv_shows,3
assumption,books|lyrics|tv_shows,3
assure,books|lyrics|tv_shows,3
asteroid,books|lyrics|tv_shows,3
asthma,books|lyrics|tv_shows,3
astonishment,books|lyrics|tv_shows,3
astray,books|lyrics|tv_shows,3
astrology,books|lyrics|tv_shows,3
astronaut,books|lyrics|tv_shows,3
astronomer,books|lyrics|tv_shows,3
asunder,books|lyrics|tv_shows,3
asylum,books|lyrics|tv_shows,3
ate,books|lyrics|tv_shows,3
atheist,books|lyrics|tv_shows,3
atm,books|lyrics|tv_shows,3
atmosphere,books|lyrics|tv_shows,3
atom,books|lyrics|tv_shows,3
atomic,books|lyrics|tv_shows,3
atone,books|lyrics|tv_shows,3
atonement,books|lyrics|tv_shows,3
atop,books|lyrics|tv_shows,3
attach,books|lyrics|tv_shows,3
attack,books|lyrics|tv_shows,3
attacker,books|lyrics|tv_shows,3
attain,books|lyrics|tv_shows,3
attempt,books|lyrics|tv_shows,3
attend,books|lyrics|tv_shows,3
attendant,books|lyrics|tv_shows,3
attention,books|lyrics|tv_shows,3
attest,books|lyrics|tv_shows,3
attic,books|lyrics|tv_shows,3
attire,books|lyrics|tv_shows,3
attitude,books|lyrics|tv_shows,3
attorney,books|lyrics|tv_shows,3
attract,books|lyrics|tv_shows,3
attraction,books|lyrics|tv_shows,3
attractive,books|lyrics|tv_shows,3
auburn,books|lyrics|tv_shows,3
audacity,books|lyrics|tv_shows,3
audible,books|lyrics|tv_shows,3
audience,books|lyrics|tv_shows,3
audio,books|lyrics|tv_shows,3
audition,books|lyrics|tv_shows,3
auditorium,books|lyrics|tv_shows,3
august,books|lyrics|tv_shows,3
aunt,books|lyrics|tv_shows,3
aura,books|lyrics|tv_shows,3
austere,books|lyrics|tv_shows,3
authentic,books|lyrics|tv_shows,3
authenticity,books|lyrics|tv_shows,3
author,books|lyrics|tv_shows,3
authority,books|lyrics|tv_shows,3
auto,books|lyrics|tv_shows,3
autobiography,books|lyrics|tv_shows,3
autograph,books|lyrics|tv_shows,3
automatic,books|lyrics|tv_shows,3
automobile,books|lyrics|tv_shows,3
autopsy,books|lyrics|tv_shows,3
autumn,books|lyrics|tv_shows,3
avail,books|lyrics|tv_shows,3
available,books|lyrics|tv_shows,3
avalanche,books|lyrics|tv_shows,3
ave,books|lyrics|tv_shows,3
avenge,books|lyrics|tv_shows,3
avenger,books|lyrics|tv_shows,3
avenue,books|lyrics|tv_shows,3
average,books|lyrics|tv_shows,3
avert,books|lyrics|tv_shows,3
aviator,books|lyrics|tv_shows,3
avoid,books|lyrics|tv_shows,3
aw,books|lyrics|tv_shows,3
await,books|lyrics|tv_shows,3
awake,books|lyrics|tv_shows,3
awaken,books|lyrics|tv_shows,3
award,books|lyrics|tv_shows,3
aware,books|lyrics|tv_shows,3
awareness,books|lyrics|tv_shows,3
away,books|lyrics|tv_shows,3
awe,books|lyrics|tv_shows,3
awesome,books|lyrics|tv_shows,3
awesomely,books|lyrics|tv_shows,3
awful,books|lyrics|tv_shows,3
awfully,books|lyrics|tv_shows,3
awhile,books|lyrics|tv_shows,3
awkward,books|lyrics|tv_shows,3
awry,books|lyrics|tv_shows,3
ax,books|lyrics|tv_shows,3
axe,books|lyrics|tv_shows,3
axle,books|lyrics|tv_shows,3
ay,books|lyrics|tv_shows,3
aye,books|lyrics|tv_shows,3
azalea,books|lyrics|tv_shows,3
babble,books|lyrics|tv_shows,3
babe,books|lyrics|tv_shows,3
baby,books|lyrics|tv_shows,3
babydoll,books|lyrics|tv_shows,3
babysit,books|lyrics|tv_shows,3
babysitter,books|lyrics|tv_shows,3
bachelor,books|lyrics|tv_shows,3
back,books|lyrics|tv_shows,3
backbone,books|lyrics|tv_shows,3
backfire,books|lyrics|tv_shows,3
backflip,books|lyrics|tv_shows,3
background,books|lyrics|tv_shows,3
backhand,books|lyrics|tv_shows,3
backpack,books|lyrics|tv_shows,3
backpedal,books|lyrics|tv_shows,3
backseat,books|lyrics|tv_shows,3
backside,books|lyrics|tv_shows,3
backstage,books|lyrics|tv_shows,3
backward,books|lyrics|tv_shows,3
backwards,books|lyrics|tv_shows,3
backyard,books|lyrics|tv_shows,3
bad,books|lyrics|tv_shows,3
badge,books|lyrics|tv_shows,3
badly,books|lyrics|tv_shows,3
badness,books|lyrics|tv_shows,3
baffle,books|lyrics|tv_shows,3
bag,books|lyrics|tv_shows,3
baggage,books|lyrics|tv_shows,3
baguette,books|lyrics|tv_shows,3
bah,books|lyrics|tv_shows,3
bail,books|lyrics|tv_shows,3
bait,books|lyrics|tv_shows,3
bake,books|lyrics|tv_shows,3
baked,books|lyrics|tv_shows,3
baker,books|lyrics|tv_shows,3
balance,books|lyrics|tv_shows,3
balanced,books|lyrics|tv_shows,3
balcony,books|lyrics|tv_shows,3
bald,books|lyrics|tv_shows,3
ball,books|lyrics|tv_shows,3
ballad,books|lyrics|tv_shows,3
baller,books|lyrics|tv_shows,3
ballerina,books|lyrics|tv_shows,3
ballet,books|lyrics|tv_shows,3
ballgame,books|lyrics|tv_shows,3
ballistic,books|lyrics|tv_shows,3
balloon,books|lyrics|tv_shows,3
ballpoint,books|lyrics|tv_shows,3
ballroom,books|lyrics|tv_shows,3
bam,books|lyrics|tv_shows,3
ban,books|lyrics|tv_shows,3
banana,books|lyrics|tv_shows,3
band,books|lyrics|tv_shows,3
bandage,books|lyrics|tv_shows,3
bandana,books|lyrics|tv_shows,3
bandit,books|lyrics|tv_shows,3
bandwagon,books|lyrics|tv_shows,3
bang,books|lyrics|tv_shows,3
banger,books|lyrics|tv_shows,3
bangin,books|lyrics|tv_shows,3
banging,books|lyrics|tv_shows,3
banister,books|lyrics|tv_shows,3
bank,books|lyrics|tv_shows,3
banker,books|lyrics|tv_shows,3
banner,books|lyrics|tv_shows,3
banter,books|lyrics|tv_shows,3
baptize,books|lyrics|tv_shows,3
bar,books|lyrics|tv_shows,3
barbarian,books|lyrics|tv_shows,3
barbaric,books|lyrics|tv_shows,3
barbecue,books|lyrics|tv_shows,3
barbed,books|lyrics|tv_shows,3
barbeque,books|lyrics|tv_shows,3
barber,books|lyrics|tv_shows,3
bare,books|lyrics|tv_shows,3
barefoot,books|lyrics|tv_shows,3
barely,books|lyrics|tv_shows,3
barf,books|lyrics|tv_shows,3
bargain,books|lyrics|tv_shows,3
barge,books|lyrics|tv_shows,3
baritone,books|lyrics|tv_shows,3
bark,books|lyrics|tv_shows,3
barking,books|lyrics|tv_shows,3
barley,books|lyrics|tv_shows,3
barrel,books|lyrics|tv_shows,3
barren,books|lyrics|tv_shows,3
barricade,books|lyrics|tv_shows,3
barrier,books|lyrics|tv_shows,3
barrio,books|lyrics|tv_shows,3
barroom,books|lyrics|tv_shows,3
bartender,books|lyrics|tv_shows,3
barter,books|lyrics|tv_shows,3
base,books|lyrics|tv_shows,3
baseball,books|lyrics|tv_shows,3
basement,books|lyrics|tv_shows,3
bash,books|lyrics|tv_shows,3
bashful,books|lyrics|tv_shows,3
basic,books|lyrics|tv_shows,3
basically,books|lyrics|tv_shows,3
basis,books|lyrics|tv_shows,3
bask,books|lyrics|tv_shows,3
basket,books|lyrics|tv_shows,3
basketball,books|lyrics|tv_shows,3
bass,books|lyrics|tv_shows,3
bastard,books|lyrics|tv_shows,3
bat,books|lyrics|tv_shows,3
bath,books|lyrics|tv_shows,3
bathe,books|lyrics|tv_shows,3
bathrobe,books|lyrics|tv_shows,3
bathroom,books|lyrics|tv_shows,3
bathtub,books|lyrics|tv_shows,3
bathwater,books|lyrics|tv_shows,3
batshit,books|lyrics|tv_shows,3
battalion,books|lyrics|tv_shows,3
batter,books|lyrics|tv_shows,3
battered,books|lyrics|tv_shows,3
battery,books|lyrics|tv_shows,3
batting,books|lyrics|tv_shows,3
battle,books|lyrics|tv_shows,3
battlefield,books|lyrics|tv_shows,3
battlement,books|lyrics|tv_shows,3
battleship,books|lyrics|tv_shows,3
bauble,books|lyrics|tv_shows,3
bawl,books|lyrics|tv_shows,3
bay,books|lyrics|tv_shows,3
bazooka,books|lyrics|tv_shows,3
beach,books|lyrics|tv_shows,3
beacon,books|lyrics|tv_shows,3
bead,books|lyrics|tv_shows,3
beady,books|lyrics|tv_shows,3
beak,books|lyrics|tv_shows,3
beam,books|lyrics|tv_shows,3
bean,books|lyrics|tv_shows,3
bear,books|lyrics|tv_shows,3
bearable,books|lyrics|tv_shows,3
beard,books|lyrics|tv_shows,3
bearded,books|lyrics|tv_shows,3
bearer,books|lyrics|tv_shows,3
bearing,books|lyrics|tv_shows,3
beast,books|lyrics|tv_shows,3
beat,books|lyrics|tv_shows,3
beater,books|lyrics|tv_shows,3
beatin,books|lyrics|tv_shows,3
beating,books|lyrics|tv_shows,3
beauteous,books|lyrics|tv_shows,3
beautiful,books|lyrics|tv_shows,3
beautifully,books|lyrics|tv_shows,3
beauty,books|lyrics|tv_shows,3
beaver,books|lyrics|tv_shows,3
beckon,books|lyrics|tv_shows,3
bed,books|lyrics|tv_shows,3
bedpost,books|lyrics|tv_shows,3
bedridden,books|lyrics|tv_shows,3
bedroom,books|lyrics|tv_shows,3
bedsheet,books|lyrics|tv_shows,3
bedside,books|lyrics|tv_shows,3
bedspread,books|lyrics|tv_shows,3
bedtime,books|lyrics|tv_shows,3
bee,books|lyrics|tv_shows,3
beef,books|lyrics|tv_shows,3
beep,books|lyrics|tv_shows,3
beer,books|lyrics|tv_shows,3
beetle,books|lyrics|tv_shows,3
befall,books|lyrics|tv_shows,3
befriend,books|lyrics|tv_shows,3
beg,books|lyrics|tv_shows,3
beget,books|lyrics|tv_shows,3
beggar,books|lyrics|tv_shows,3
beggin,books|lyrics|tv_shows,3
begin,books|lyrics|tv_shows,3
beginner,books|lyrics|tv_shows,3
beginning,books|lyrics|tv_shows,3
behalf,books|lyrics|tv_shows,3
behave,books|lyrics|tv_shows,3
behavior,books|lyrics|tv_shows,3
behold,books|lyrics|tv_shows,3
beige,books|lyrics|tv_shows,3
bein,books|lyrics|tv_shows,3
bel,books|lyrics|tv_shows,3
belch,books|lyrics|tv_shows,3
belie,books|lyrics|tv_shows,3
belief,books|lyrics|tv_shows,3
believable,books|lyrics|tv_shows,3
believe,books|lyrics|tv_shows,3
believer,books|lyrics|tv_shows,3
bell,books|lyrics|tv_shows,3
belle,books|lyrics|tv_shows,3
bellow,books|lyrics|tv_shows,3
belly,books|lyrics|tv_shows,3
bellyache,books|lyrics|tv_shows,3
belong,books|lyrics|tv_shows,3
belonging,books|lyrics|tv_shows,3
beloved,books|lyrics|tv_shows,3
belt,books|lyrics|tv_shows,3
bench,books|lyrics|tv_shows,3
bend,books|lyrics|tv_shows,3
bended,books|lyrics|tv_shows,3
bender,books|lyrics|tv_shows,3
bending,books|lyrics|tv_shows,3
beneath,books|lyrics|tv_shows,3
beneficial,books|lyrics|tv_shows,3
benefit,books|lyrics|tv_shows,3
benny,books|lyrics|tv_shows,3
bent,books|lyrics|tv_shows,3
bequeath,books|lyrics|tv_shows,3
bereft,books|lyrics|tv_shows,3
beret,books|lyrics|tv_shows,3
berry,books|lyrics|tv_shows,3
berserk,books|lyrics|tv_shows,3
beset,books|lyrics|tv_shows,3
besiege,books|lyrics|tv_shows,3
best,books|lyrics|tv_shows,3
bestow,books|lyrics|tv_shows,3
bet,books|lyrics|tv_shows,3
betcha,books|lyrics|tv_shows,3
